bea_amused_001|Author of the danger trail  Philip Steels  etc.
bea_amused_002|Not at this particular case  Tom  apologized Whittemore.
bea_amused_003|For the twentieth time that evening the two men shook hands.
bea_amused_004|Lord  but I'm glad to see you again  Phil.
bea_amused_005|Will we ever forget it.
bea_amused_006|God bless 'em  I hope I'll go on seeing them forever.
bea_amused_007|And you always want to see it in the superlative degree.
bea_amused_009|He turned sharply  and faced Gregson across the table.
bea_amused_010|I'm playing a single hand in what looks like a losing game.
bea_amused_011|If I ever needed a fighter in my life I need one now.
bea_amused_012|Gregson shoved back his chair and rose to his feet.
bea_amused_013|He was a head shorter than his companion  of almost delicate physique.
bea_amused_014|Now you're coming down to business  Phil  he exclaimed.
bea_amused_015|It's the aurora borealis.
bea_amused_016|There's Fort Churchill  a rifle-shot beyond the ridge  asleep.
bea_amused_017|From that moment his friendship for Belize turns to hatred and jealousy.
bea_amused_018|There was a change now.
bea_amused_019|I followed the line of the proposed railroad  looking for chances.
bea_amused_020|Clubs and balls and cities grew to be only memories.
bea_amused_021|It fairly clubbed me into recognizing it.
bea_amused_022|Hardly were our plans made public before we were met by powerful opposition.
bea_amused_023|A combination of Canadian capital quickly organized and petitioned for the same privileges.
bea_amused_024|It was my reports from the north which chiefly induced people to buy.
bea_amused_025|I was about to do this when cooler judgment prevailed.
bea_amused_026|It occurred to me that there would have to be an accounting.
bea_amused_027|To my surprise he began to show actual enthusiasm in my favor.
bea_amused_028|Robbery  bribery  fraud.
bea_amused_029|Their forces were already moving into the north country.
bea_amused_030|I had faith in them.
bea_amused_031|They were three hundred yards apart.
bea_amused_032|Since then some mysterious force has been fighting us at every step.
bea_amused_033|He unfolded a long typewritten letter  and handed it to Gregson.
bea_amused_034|Men of Selden's stamp don't stop at women and children.
bea_amused_035|He stopped  and Philip nodded at the horrified question in his eyes.
bea_amused_036|She turned in at the hotel.
bea_amused_037|I was the only one who remained sitting.
bea_amused_038|We'll have to watch our chances.
bea_amused_039|The ship should be in within a week or ten days.
bea_amused_040|I suppose you wonder why she is coming up here.
bea_amused_041|Meanwhile I'll go out to breathe a spell.
bea_amused_042|How could he explain his possession of the sketch.
bea_amused_043|It seemed nearer to him since he had seen and talked with Gregson.
bea_amused_044|Her own betrayal of herself was like tonic to Philip.
bea_amused_045|He moved away as quietly as he had come.
bea_amused_046|The girl faced him  her eyes shining with sudden fear.
bea_amused_047|Close beside him gleamed the white fangs of the wolf-dog.
bea_amused_048|He looked at the handkerchief more  closely.
bea_amused_049|Gregson was asleep when he re-entered the cabin.
bea_amused_050|In spite of their absurdity the words affected Philip curiously.
bea_amused_051|The lace was of a delicate ivory color  faintly tinted with yellow.
bea_amused_052|It was a curious coincidence.
bea_amused_053|Suddenly his fingers closed tightly over the handkerchief.
bea_amused_054|There was nothing on the rock.
bea_amused_055|Philip stood undecided  his ears strained to catch the slightest sound.
bea_amused_056|Pearce's little eyes were fixed on him shrewdly.
bea_amused_057|I have no idea  replied Philip.
bea_amused_058|I came for information more out of curiosity than anything else.
bea_amused_059|His immaculate appearance was gone.
bea_amused_060|Anyway  no one saw her like that.
bea_amused_061|Philip snatched at the letter which Gregson held out to him.
bea_amused_063|Yes  it was a man who asked  a stranger.
bea_amused_064|The fourth and fifth days passed without any developments.
bea_amused_065|They closed now until his fingers were like cords of steel.
bea_amused_066|He saw Jeanne falter for a moment.
bea_amused_067|Surely I will excuse you  she cried.
bea_amused_068|In a flash Philip followed its direction.
bea_amused_069|It was his intention to return to Eileen and her father.
bea_amused_070|He would first hunt up Gregson and begin his work there.
bea_amused_071|What was the object of your little sensation.
bea_amused_073|The promoter's eyes were heavy  with little puffy bags under them.
bea_amused_074|And now  down there  Eileen was waiting for him.
bea_amused_075|There has been a change  she interrupted him.
bea_amused_076|The gray eyes faltered; the flush deepened.
bea_amused_077|It is the fire  partly  she said.
bea_amused_078|Then  and at supper  he tried to fathom her.
bea_amused_079|It was a large canoe.
bea_amused_080|What if Jeanne failed him.
bea_amused_081|What if she did not come to the rock.
bea_amused_082|His face was streaming with blood.
bea_amused_083|A shadow was creeping over Pierre's eyes.
bea_amused_084|Scarcely had he uttered the name when Pierre's closing eyes shot open.
bea_amused_085|A trickle of fresh blood ran over his face.
bea_amused_086|Death had come with terrible suddenness.
bea_amused_087|Philip bent lower  and stared into the face of the dead man.
bea_amused_088|He made sure that the magazine was loaded  and resumed his paddling.
bea_amused_089|The nightglow was treacherous to shoot by.
bea_amused_090|The singing voice approached rapidly.
bea_amused_091|His blood grew hot with rage at the thought.
bea_amused_092|He went down in midstream  searching the shadows of both shores.
bea_amused_093|For a full minute he crouched and listened.
bea_amused_094|He had barely entered this when he saw the glow of a fire.
bea_amused_095|A big canvas tent was the first thing to come within his vision.
bea_amused_096|Perhaps she had already met her fate a little deeper in the forest.
bea_amused_098|Shall I carry you.
bea_amused_099|A maddening joy pounded in his brain.
bea_amused_100|You must sleep  he urged.
bea_amused_101|You  you would not keep the truth from me.
bea_amused_102|He will follow us soon.
bea_amused_103|But there came no promise from the bow of the canoe.
bea_amused_104|She was sleeping under his protection as sweetly as a child.
bea_amused_105|Only  it is so wonderful  so almost impossible to believe.
bea_amused_106|The emotion which she had suppressed burst forth now in a choking sob.
bea_amused_107|If you only could know how I thank you.
bea_amused_108|He waded into the edge of the water and began scrubbing himself.
bea_amused_109|Do you know that you are shaking my confidence in you.
bea_amused_110|Much  replied Jeanne  as tersely.
bea_amused_111|Instead  he joined her; and they ate like two hungry children.
bea_amused_112|He was wounded in the arm.
bea_amused_113|I suppose you picked that lingo up among the Indians.
bea_amused_114|Her words sent a strange chill through Philip.
bea_amused_115|He had no excuse for the feelings which were aroused in him.
bea_amused_116|Was it the rendezvous of those who were striving to work his ruin.
bea_amused_117|She added  with genuine sympathy in her face and voice.
bea_amused_118|Pierre obeys me when we are together.
bea_amused_119|Jeanne was turning the bow shoreward.
bea_amused_121|They ate dinner at the fifth  and rested for two hours.
bea_amused_122|Two years ago I gave up civilization for this.
bea_amused_123|She had died from cold and starvation.
bea_amused_124|It was Jeanne singing softly over beyond the rocks.
bea_amused_126|Each day she became a more vital part of him.
bea_amused_127|It was a temptation  but he resisted it.
bea_amused_128|This one hope was destroyed as quickly as it was born.
bea_amused_129|Her face was against his breast.
bea_amused_130|She was his now  forever.
bea_amused_131|Providence had delivered him through the maelstrom.
bea_amused_132|A cry of joy burst from Philip's lips.
bea_amused_133|Philip began to feel that he had foolishly overestimated his strength.
bea_amused_134|He obeyed the pressure of her hand.
bea_amused_135|I am going to surprise father  and you will go with Pierre.
bea_amused_136|About him  everywhere  were the evidences of luxury and of age.
bea_amused_137|Then he stepped back with a low cry of pleasure.
bea_amused_138|In the picture he saw each moment a greater resemblance to Jeanne.
bea_amused_139|He told himself that as he washed himself and groomed his disheveled clothes.
bea_amused_140|Accept a father's blessing  and with it  this.
bea_amused_141|It seems like a strange pointing of the hand of God.
bea_amused_142|Such things had occurred before  he told Philip.
bea_amused_143|Ah  I had forgotten  he exclaimed.
bea_amused_144|But there was something even more startling than this resemblance.
bea_amused_145|I have to be careful of them  as they tear very easily.
bea_amused_146|Of course  that is uninteresting  she continued.
bea_amused_147|A moment before he was intoxicated by a joy that was almost madness.
bea_amused_149|For an instant he saw Pierre drawn like a silhouette against the sky.
bea_amused_150|Goodbye  Pierre  he shouted.
bea_amused_152|Philip thrust himself against it and entered.
bea_amused_154|He was smooth-shaven  and his hair and eyes were black.
bea_amused_155|Won't you draw up  gentlemen.
bea_amused_156|A strange fire burned in his eyes when Thorpe turned.
bea_amused_158|Does that look good.
bea_amused_159|They look as though he had been drumming a piano all his life.
bea_amused_160|You want to go over and see his gang throw dirt.
bea_amused_161|Take away their foreman and they wouldn't be worth their grub.
bea_amused_163|Philip made no effort to follow.
bea_amused_164|He came first a year ago  and revealed himself to Jeanne.
bea_amused_165|They are to attack your camp tomorrow night.
bea_amused_166|Two days ago Jeanne learned where her father's men were hiding.
bea_amused_167|I was near the cabin  and saw you.
bea_amused_168|Low bush whipped him in the face and left no sting.
bea_amused_169|Suddenly Jeanne stopped for an instant.
bea_amused_170|There was none of the joy of meeting in his face.
bea_amused_171|And when you come back in a few days  bring Eileen.
bea_amused_172|Gregson had left the outer door slightly ajar.
bea_amused_173|The date was nearly eighteen years old.
bea_amused_174|They were the presage of storm.
bea_amused_175|Down there the earth was already swelling with life.
bea_amused_176|For the first time in his life he was yearning for a scrap.
bea_amused_177|She had been thoroughly and efficiently mauled.
bea_amused_178|Every bone in her aged body seemed broken or dislocated.
bea_amused_179|Tomorrow I'm going after that bear  he said.
bea_amused_180|If not  let's say our prayers and go to bed.
bea_amused_181|So cheer up  and give us your paw.
bea_amused_182|This time he did not yap for mercy.
bea_amused_183|And the air was growing chilly.
bea_amused_184|Don't you see  I'm chewing this thing in two.
bea_amused_185|The questions may have come vaguely in his mind.
bea_amused_186|Like a flash he launched himself into the feathered mass of the owl.
bea_amused_187|Ahead of them they saw a glimmer of sunshine.
bea_amused_188|Two gigantic owls were tearing at the carcass.
bea_amused_189|The big-eyed  clucking moose-birds were most annoying.
bea_amused_190|Next to them the Canada jays were most persistent.
bea_amused_191|For a time the exciting thrill of his adventure was gone.
bea_amused_192|He did not rush in.
bea_amused_193|It was edged with ice.
bea_amused_194|He drank of the water cautiously.
bea_amused_195|But a strange thing happened.
bea_amused_196|He began to follow the footprints of the dog.
bea_amused_197|Such a dog the wise driver kills  or turns loose.
bea_amused_198|Sometimes her dreams were filled with visions.
bea_amused_199|Thus had the raw wilderness prepared him for this day.
